rounds,key_mode,key_hex,num_keys,seed_hex,fixed_input_difference_hex,fixed_input_difference_weight,rank,output_mask_hex,metric_name,metric_pow2,abs_metric_pow2
11,random_keys,,5,0x0000000000001234,0x00004000,1,4,0x0bfee239,rms,2^(-13.8090),2^(-13.8090)
11,random_keys,,5,0x0000000000001234,0x00004000,1,5,0x0dfb3eaa,rms,2^(-13.8187),2^(-13.8187)
11,random_keys,,5,0x0000000000001234,0x00008000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00008000,1,2,0x8337091c,rms,2^(-13.7885),2^(-13.7885)
11,random_keys,,5,0x0000000000001234,0x00008000,1,3,0xdb665574,rms,2^(-13.7936),2^(-13.7936)
11,random_keys,,5,0x0000000000001234,0x00008000,1,4,0x57616269,rms,2^(-13.8203),2^(-13.8203)
11,random_keys,,5,0x0000000000001234,0x00008000,1,5,0x47f83b1e,rms,2^(-13.8435),2^(-13.8435)
11,random_keys,,5,0x0000000000001234,0x00010000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00010000,1,2,0xf68620fa,rms,2^(-13.7331),2^(-13.7331)
11,random_keys,,5,0x0000000000001234,0x00010000,1,3,0x9cf7b021,rms,2^(-13.7663),2^(-13.7663)
11,random_keys,,5,0x0000000000001234,0x00010000,1,4,0xe6dcfaf1,rms,2^(-13.7737),2^(-13.7737)
11,random_keys,,5,0x0000000000001234,0x00010000,1,5,0x8b16daf7,rms,2^(-13.7927),2^(-13.7927)
11,random_keys,,5,0x0000000000001234,0x00020000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00020000,1,2,0x18edd714,rms,2^(-13.7892),2^(-13.7892)
11,random_keys,,5,0x0000000000001234,0x00020000,1,3,0x3cf5ebaf,rms,2^(-13.7953),2^(-13.7953)
11,random_keys,,5,0x0000000000001234,0x00020000,1,4,0xe0afdb2e,rms,2^(-13.8057),2^(-13.8057)
11,random_keys,,5,0x0000000000001234,0x00020000,1,5,0xab00fc0f,rms,2^(-13.8142),2^(-13.8142)
11,random_keys,,5,0x0000000000001234,0x00040000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
